ID	book_id	char_text	place_text	context_10	context_50	context_100
HATTWP	57640	It	a back - water of the East - end	answered quietly . CHAPTER LII THE RETURN OF THE OUTCAST <char> It </char> was in Mrs. Trupp 's home , in <place> a back - water of the East - end </place> , that Ruth 's child was born . The babe	"even if you have seen good to desert your Church . "" The lady looked at him with eyes that were a little wistful , a little whimsical . "" I 'm afraid we 're mutually disappointed , "" she answered quietly . CHAPTER LII THE RETURN OF THE OUTCAST <char> It </char> was in Mrs. Trupp 's home , in <place> a back - water of the East - end </place> , that Ruth 's child was born . The babe was beautiful , but over the mother a shadow lay ."	"quite mine . "" "" Pity , "" said the Archdeacon , mounting his favourite high horse with the little toss of his head , carefully cultivated , which so impressed the shop - keepers of Old Town . "" I had hoped that you remained of the Faith , even if you have seen good to desert your Church . "" The lady looked at him with eyes that were a little wistful , a little whimsical . "" I 'm afraid we 're mutually disappointed , "" she answered quietly . CHAPTER LII THE RETURN OF THE OUTCAST <char> It </char> was in Mrs. Trupp 's home , in <place> a back - water of the East - end </place> , that Ruth 's child was born . The babe was beautiful , but over the mother a shadow lay ."
WEFSHY	43952	a prefect	the house	seconds at cricket : after the summer he would be <char> a prefect </char> and captain of games in <place> the house </place> . And now it was all over .	"week against Tonwich . "" And during the last eighteen months it had indeed seemed that these dreams were to be realised . Roland had his colours at football , he was in the Sixth , a certainty for his seconds at cricket : after the summer he would be <char> a prefect </char> and captain of games in <place> the house </place> . And now it was all over ."	"the company of a double first . He would come down to "" commem "" and give a luncheon party at the Eversham Hotel , and the masters would come and speak to him and congratulate him on his son 's performance : "" A wonderful game of his last week against Tonwich . "" And during the last eighteen months it had indeed seemed that these dreams were to be realised . Roland had his colours at football , he was in the Sixth , a certainty for his seconds at cricket : after the summer he would be <char> a prefect </char> and captain of games in <place> the house </place> . And now it was all over ."
UFZZXG	20553	I	the spot where I had last seen Kelvar	came nearer to Nardos and the bridge , nearer to <place> the spot where <char> I </char> had last seen Kelvar </place> . Below the old water level ,	and skeletal . Towers had fallen in , and the gleaming white was dimmed . It was a city of the dead , under an Earth leprous - looking with black spots where the clouds apparently had parted . I came nearer to Nardos and the bridge , nearer to <place> the spot where <char> I </char> had last seen Kelvar </place> . Below the old water level , the columns showed a greenish stain , and half - way out the whole structure had fallen in a	of glittering alkali without a sign of vegetation . I went on toward Nardos the Beautiful . * * * * * Even from afar off , I could see that it was desolate . Visible now that the water had gone down , the pillars supporting it rose gaunt and skeletal . Towers had fallen in , and the gleaming white was dimmed . It was a city of the dead , under an Earth leprous - looking with black spots where the clouds apparently had parted . I came nearer to Nardos and the bridge , nearer to <place> the spot where <char> I </char> had last seen Kelvar </place> . Below the old water level , the columns showed a greenish stain , and half - way out the whole structure had fallen in a
IRUKQA	28333	Elizabeth	Elizabeth 's room	mounted the little staircase leading to the first floor . <char> <place> Elizabeth </char> 's room </place> was on this floor . Before her door he stopped	"considering the state she is in ... she might have sent to say she was not at home in order to have time to add some finishing touches to her toilette . "" Fandor , who knew the house , mounted the little staircase leading to the first floor . <char> <place> Elizabeth </char> 's room </place> was on this floor . Before her door he stopped and sniffed ."	"to himself . "" If Elizabeth Dollon is really not in ! ... but ... Is she really not in the house ? I am by no means sure .... If she feels timid at the idea of seeing the bankers -- their visit may have made her nervous , considering the state she is in ... she might have sent to say she was not at home in order to have time to add some finishing touches to her toilette . "" Fandor , who knew the house , mounted the little staircase leading to the first floor . <char> <place> Elizabeth </char> 's room </place> was on this floor . Before her door he stopped and sniffed ."
MFESIQ	4012	They	the mill	, and she skated as hard as she could . <char> They </char> were getting quite near <place> the mill </place> now . Kit stopped playing and began to skate as	he thought he would show off a little . He went zigzag across the canal ; once or twice he stopped to skate in curves . Kat did n't stop for anything . She kept her eyes on the windmill , and she skated as hard as she could . <char> They </char> were getting quite near <place> the mill </place> now . Kit stopped playing and began to skate as fast as he could .	". "" And I 'll get a cake for the one who wins , "" said the mother . "" One , two , three ! "" Away they flew like the wind ! Father and Mother Vedder came close behind . Kit was so sure he would beat that he thought he would show off a little . He went zigzag across the canal ; once or twice he stopped to skate in curves . Kat did n't stop for anything . She kept her eyes on the windmill , and she skated as hard as she could . <char> They </char> were getting quite near <place> the mill </place> now . Kit stopped playing and began to skate as fast as he could ."
QERSVL	45114	I	sea	"handsome he appeared to me : "" ' Mother , <char> I </char> will go to <place> sea </place> . ' "" ' Where ? ' asked I ,"	"-- we were sued for our taxes . "" ' Nathaniel , ' said I , ' I will go to taking boarders . ' "" Then he looked up to me and said -- oh , how noble and handsome he appeared to me : "" ' Mother , <char> I </char> will go to <place> sea </place> . ' "" ' Where ? ' asked I , in surprise ."	"I loved Nathaniel . It was on my account that he went away . "" The farm did not produce enough for us all -- Nathaniel , John , and me . We worked hard , and had a hard time . One year -- that was ten years ago -- we were sued for our taxes . "" ' Nathaniel , ' said I , ' I will go to taking boarders . ' "" Then he looked up to me and said -- oh , how noble and handsome he appeared to me : "" ' Mother , <char> I </char> will go to <place> sea </place> . ' "" ' Where ? ' asked I , in surprise ."
IOJDTV	57418	we	the ocean	"said it with a vague remembrance of the stowaways crossing <place> the ocean </place> thus . "" And then tell him that <char> we </char> are not here -- that we have fallen overboard --"	", "" said Margaret hurriedly , brought face to face with the emergency by Norah 's question,--""hide us anywhere you can about the boat -- down in the hold , if you have n't any other place . "" She said it with a vague remembrance of the stowaways crossing <place> the ocean </place> thus . "" And then tell him that <char> we </char> are not here -- that we have fallen overboard -- anything -- to throw him off the track . "" Then , with sudden fear , "" Would you mind telling what was not true to save my boy ? "" "" Divil a bit wud"	"divilin ' that black - hearted vilyan -- come aboard a dacent boat for the purpose o ' stalin ' your b'y , bad luck to him ! And what is it ye was wantin ' me to do , mem ? "" "" I want you to hide us , "" said Margaret hurriedly , brought face to face with the emergency by Norah 's question,--""hide us anywhere you can about the boat -- down in the hold , if you have n't any other place . "" She said it with a vague remembrance of the stowaways crossing <place> the ocean </place> thus . "" And then tell him that <char> we </char> are not here -- that we have fallen overboard -- anything -- to throw him off the track . "" Then , with sudden fear , "" Would you mind telling what was not true to save my boy ? "" "" Divil a bit wud"
DHTITV	64303	I	the ravine	gyro troubles ? If I were going to fake , <char> I </char> would have done so back there in <place> the ravine </place> . ” “ That ’s true	prince peremptorily . “ No fooling ! No pretended gyroscope trouble ! ” “ Do n’t you realize , ” Myles replied mildly , “ that this is a pretty poor place for me to _ pretend _ to have gyro troubles ? If I were going to fake , <char> I </char> would have done so back there in <place> the ravine </place> . ” “ That ’s true	to turn his captor over to the authorities had come and gone . Soon Yuri would be able to take the seat beside him and ride in triumph among his friends . And then the car began to wobble a bit . “ Hold her steady ! ” ordered the prince peremptorily . “ No fooling ! No pretended gyroscope trouble ! ” “ Do n’t you realize , ” Myles replied mildly , “ that this is a pretty poor place for me to _ pretend _ to have gyro troubles ? If I were going to fake , <char> I </char> would have done so back there in <place> the ravine </place> . ” “ That ’s true
CREVAA	47874	I	the brook	that her head ached and her throat was sore . <char> I </char> sat her down by <place> the brook </place> , and wet her curls with the water , and	meadow , where , the year before , we had gathered strawberries . We went down into it in high spirits ; the strawberries were abundant , and we chatted and picked together gaily , till Daisy began to complain that her head ached and her throat was sore . <char> I </char> sat her down by <place> the brook </place> , and wet her curls with the water , and told her to rest there , and let me pick for her . But pretty soon she called me .	together , till the heats of summer came on . Then a sad epidemic began to linger around in our mountains , and to be heard of in neighboring villages , and my poor Daisy was scorched by its breath . I remember well our last afternoon together in the meadow , where , the year before , we had gathered strawberries . We went down into it in high spirits ; the strawberries were abundant , and we chatted and picked together gaily , till Daisy began to complain that her head ached and her throat was sore . <char> I </char> sat her down by <place> the brook </place> , and wet her curls with the water , and told her to rest there , and let me pick for her . But pretty soon she called me .
UXKGQX	96	the party	the long - house	"a mile we discovered you . "" No sooner had <char> the party </char> entered the verandah of <place> the long - house </place> than Professor Maxon made inquiries for von Horn , only"	"in his possession , and that the river we were bound for would lead your captors most quickly out of the domains of that rascally Malay . You may imagine our surprise , Virginia , when after proceeding for but a mile we discovered you . "" No sooner had <char> the party </char> entered the verandah of <place> the long - house </place> than Professor Maxon made inquiries for von Horn , only to learn that he had departed up stream in a prahu with several warriors whom he had engaged to accompany him on a "" hunting expedition , "" having explained that the white girl had been found and was being"	"strike other tribes and from them glean some clue to your whereabouts in case your abductors had attempted to carry you back to the sea by another route . This seemed likely in view of the fact that we were assured by enemies of Muda Saffir that you were not in his possession , and that the river we were bound for would lead your captors most quickly out of the domains of that rascally Malay . You may imagine our surprise , Virginia , when after proceeding for but a mile we discovered you . "" No sooner had <char> the party </char> entered the verandah of <place> the long - house </place> than Professor Maxon made inquiries for von Horn , only to learn that he had departed up stream in a prahu with several warriors whom he had engaged to accompany him on a "" hunting expedition , "" having explained that the white girl had been found and was being brought to the long - house . The chief further explained that he had done his best to dissuade the white man from so rash an act , as he was going directly into the country of the tribe of the two men he had killed , and there was"
UOMSLZ	50238	It	Captain West ’s pilothouse	rose , black and awful , to the height of <place> Captain West ’s pilothouse </place> — and then it struck . <char> It </char> fell with a roar . Captain West	power , the clashing and crashing of that surging sea , the wailing of the wind . As Captain West bent his head , a great wall of water gathered before the _ James Kennedy _ ’s bow . It rose , black and awful , to the height of <place> Captain West ’s pilothouse </place> — and then it struck . <char> It </char> fell with a roar . Captain West dove for	possible . But something had to be done . Quickly , Captain West bent over his chart . His eyes swept over it , eagerly searching for some island or outcropping of land to which he might run for shelter . All around him now were the voices of insane power , the clashing and crashing of that surging sea , the wailing of the wind . As Captain West bent his head , a great wall of water gathered before the _ James Kennedy _ ’s bow . It rose , black and awful , to the height of <place> Captain West ’s pilothouse </place> — and then it struck . <char> It </char> fell with a roar . Captain West dove for
LWYSRV	25014	us	the planets	ear a long tube which ascends from the hair to <place> the planets </place> , and permits <char> us </char> to converse with the spirits of Saturn . Intangible	creak , mingle in our amusements , taste the beauties of Nature , and the pleasures of the arts . Nevertheless , there are amongst us many who possess an astral trunk -- that is to say , behind the ear a long tube which ascends from the hair to <place> the planets </place> , and permits <char> us </char> to converse with the spirits of Saturn . Intangible things are not less real , and from the earth to the stars , from the stars to the earth , a see - saw motion takes place , a transmission , a continual change of place	opinions . It is practical as well as benevolent , and reveals to us , like the telescope , the supernal worlds . Spirits , after death and in a state of ecstasy , are transported thither . But sometimes they descend upon our globe , where they make furniture creak , mingle in our amusements , taste the beauties of Nature , and the pleasures of the arts . Nevertheless , there are amongst us many who possess an astral trunk -- that is to say , behind the ear a long tube which ascends from the hair to <place> the planets </place> , and permits <char> us </char> to converse with the spirits of Saturn . Intangible things are not less real , and from the earth to the stars , from the stars to the earth , a see - saw motion takes place , a transmission , a continual change of place
MCZPOQ	28440	they	the almost deserted deck	light he had mistaken Neeland for a friend ; and <char> they </char> passed each other on <place> the almost deserted deck </place> , saluting formally in the European fashion , with lifted	-- so close to him , in fact , that Neeland instinctively threw up his arm , elbow out , to avoid contact . But the man , halting , merely lifted his hat , saying that in the dim light he had mistaken Neeland for a friend ; and <char> they </char> passed each other on <place> the almost deserted deck </place> , saluting formally in the European fashion , with lifted hats . His spirits a trifle subdued , but still tingling with the shock of discovering a stranger so close behind him where he had stood leaning over the ship 's rail , Neeland continued on his way below .	, swept the reflections of the lighted ports ; and he could hear the faint hiss of foam from the curling flow below . As he turned to resume his quest for cigarettes , he was startled to see directly in front of him the heavy figure of a man -- so close to him , in fact , that Neeland instinctively threw up his arm , elbow out , to avoid contact . But the man , halting , merely lifted his hat , saying that in the dim light he had mistaken Neeland for a friend ; and <char> they </char> passed each other on <place> the almost deserted deck </place> , saluting formally in the European fashion , with lifted hats . His spirits a trifle subdued , but still tingling with the shock of discovering a stranger so close behind him where he had stood leaning over the ship 's rail , Neeland continued on his way below .
SSQMKQ	7955	Julian	Lutetia	delivered Andromeda , as Jesus Christ will deliver Rome and <place> Lutetia </place> . ” <char> Julian </char> was silent , for , as a Neo - platonist	he hated . “ I call the land ‘ holy ’ because the Redeemer of the world was born there . And you know that He was born without a father , like Perseus ; you know also that Perseus delivered Andromeda , as Jesus Christ will deliver Rome and <place> Lutetia </place> . ” <char> Julian </char> was silent , for , as a Neo - platonist , he liked analogies between the heavenly and the temporal , and a poetic figure was more for him than a rhetorical ornament . Educated in a convent by Christian priests , he had early gained an insight into the	over the Holy Land , so that Algol stands over Jerusalem . ” “ Why do you call that cursed land ‘ holy ’ ? ” broke in Julian , who could not control his generally quiet temper as soon as any subject was mentioned connected with Christianity , which he hated . “ I call the land ‘ holy ’ because the Redeemer of the world was born there . And you know that He was born without a father , like Perseus ; you know also that Perseus delivered Andromeda , as Jesus Christ will deliver Rome and <place> Lutetia </place> . ” <char> Julian </char> was silent , for , as a Neo - platonist , he liked analogies between the heavenly and the temporal , and a poetic figure was more for him than a rhetorical ornament . Educated in a convent by Christian priests , he had early gained an insight into the new teaching of Christianity ; but he believed that his philosophic culture had shown him that the seed of Christianity had already germinated in Socrates and Plato .
SPGLFO	22207	my	my native town	a charge of murder , execrated by the populace of <char> <place> my </char> native town </place> ? I can remember that I wrote , when I	come to be writing in a prison ? How do I come to be living in a prison ? How is it that I , who never lifted a hand in anger against even a dog , lie here under a charge of murder , execrated by the populace of <char> <place> my </char> native town </place> ? I can remember that I wrote , when I took up my story , that it might , for anything I knew , be a year before I should go on with it .	so it came to pass that I continue this narrative at Posilipo , in my native air , within sight of smoking Vesuvius and the glittering city and the gleaming bay -- old friends , who bear comfort to the soul . CHAPTER IV.--_NELLE CARCERI MUNICIPALE _ How do I come to be writing in a prison ? How do I come to be living in a prison ? How is it that I , who never lifted a hand in anger against even a dog , lie here under a charge of murder , execrated by the populace of <char> <place> my </char> native town </place> ? I can remember that I wrote , when I took up my story , that it might , for anything I knew , be a year before I should go on with it .
AVQAYG	4499	her father	upstairs	his poor aching head on his pillow . Annette ran <place> upstairs </place> to speak to <char> her father </char> about a doctor . During her absence , Mr. Fellingham	had come into the sitting - room to take away the breakfast things . Mr. Fellingham gave a peal of laughter ; but Mrs Crickledon bade him be hushed , for Mr. Van Diemen Smith had gone to lay down his poor aching head on his pillow . Annette ran <place> upstairs </place> to speak to <char> her father </char> about a doctor . During her absence , Mr. Fellingham received the popular portrait of Mr. Tinman from the lips of Mrs. Crickledon .	to be a judge of anything . ” “ You did not touch his wine ! ” “ You men attach so much importance to wine ! ” “ They do say that powders is a good thing after Mr. Tinman ’s wine , ” observed Mrs. Crickledon , who had come into the sitting - room to take away the breakfast things . Mr. Fellingham gave a peal of laughter ; but Mrs Crickledon bade him be hushed , for Mr. Van Diemen Smith had gone to lay down his poor aching head on his pillow . Annette ran <place> upstairs </place> to speak to <char> her father </char> about a doctor . During her absence , Mr. Fellingham received the popular portrait of Mr. Tinman from the lips of Mrs. Crickledon .
MASANC	36220	someone else	it	"if he thought I was still wondering and might ask <char> someone else </char> . Then he said he had heard "" <place> it </place> used to be a private madhouse . "" "" _"	""" He looked sharply at me . "" I believe so , "" he said . I thought it must be because of all the silver and valuables in the house . But he glanced at me again , as if he thought I was still wondering and might ask <char> someone else </char> . Then he said he had heard "" <place> it </place> used to be a private madhouse . "" "" _ This house ? _"	""" Drink that black coffee , "" he recommended . He seemed not unkind , so I tried to think why he would not do so small a thing for us as ask to have a window opened . "" Are the downstairs windows barred with iron , too ? "" He looked sharply at me . "" I believe so , "" he said . I thought it must be because of all the silver and valuables in the house . But he glanced at me again , as if he thought I was still wondering and might ask <char> someone else </char> . Then he said he had heard "" <place> it </place> used to be a private madhouse . "" "" _ This house ? _"
ZXUUFU	41154	his	the middle aisle	"the motion ! "" he shouted ; and picking up <char> his </char> hat he strode down <place> the middle aisle </place> . Half - way to the door he heard Connelly"	"the motion . Tom rose and looked with impotent wrath into the faces of the crowd from which Foley 's cunning had removed his followers . Then he tossed the gavel upon the table . "" I refuse to put the motion ! "" he shouted ; and picking up <char> his </char> hat he strode down <place> the middle aisle </place> . Half - way to the door he heard Connelly , in the absence of the vice - president , put the motion ; and turning as he passed out he glimpsed the whole crowd on its feet ."	"rose a second time . "" I make a motion that we remove the president from office on the charge that he is the instigator of an outrage that has blackened the fair name of our union before all the world . "" A hundred voices cried a second to the motion . Tom rose and looked with impotent wrath into the faces of the crowd from which Foley 's cunning had removed his followers . Then he tossed the gavel upon the table . "" I refuse to put the motion ! "" he shouted ; and picking up <char> his </char> hat he strode down <place> the middle aisle </place> . Half - way to the door he heard Connelly , in the absence of the vice - president , put the motion ; and turning as he passed out he glimpsed the whole crowd on its feet ."
XWUVQU	46841	his	home	the sick - room . At such times , after <char> his </char> return <place> home </place> , Dr. Caiaphas would look around at his beautiful books	had once been so plump -- its helpless hands and its legs wrapped up in blankets -- the lean brows already gray with the shadow of approaching death ; all these made still more terrible by the attempted comforts of the sick - room . At such times , after <char> his </char> return <place> home </place> , Dr. Caiaphas would look around at his beautiful books , his little gems of art , his engravings , his Eastern rugs , his soft , delectable surroundings , and wonder what was the good of them all except to cover over the chasm of death so that for	insistence of something sweet and pretty where nothing could be sweet and pretty . Dr. Caiaphas used to return from such visits with an ever - haunting recollection of that pinched , haggard , eager face that had once been so rosy ; of the bent , lean figure that had once been so plump -- its helpless hands and its legs wrapped up in blankets -- the lean brows already gray with the shadow of approaching death ; all these made still more terrible by the attempted comforts of the sick - room . At such times , after <char> his </char> return <place> home </place> , Dr. Caiaphas would look around at his beautiful books , his little gems of art , his engravings , his Eastern rugs , his soft , delectable surroundings , and wonder what was the good of them all except to cover over the chasm of death so that for a time he might not see it . That chasm of death !
WISHIB	21227	Shenac	the house	"words , but followed the rest through the field . <char> Shenac </char> 's steps grew slower as they approached <place> the house </place> . "" Hamish , "" she said a little shamefacedly"	"to be foolish and wrong to speak as she had done , but he was true to her all the same , and would hold no parley with the enemy . So he gave no heed to the elder 's words , but followed the rest through the field . <char> Shenac </char> 's steps grew slower as they approached <place> the house </place> . "" Hamish , "" she said a little shamefacedly , "" there will be no use vexing our mother by telling her all this ."	"rest had done . "" Hamish , "" said the elder , "" speak here , man . You have some sense , and tales such as yon wild girl is like to tell may do your father 's cousin much harm . "" In his heart Hamish knew Shenac to be foolish and wrong to speak as she had done , but he was true to her all the same , and would hold no parley with the enemy . So he gave no heed to the elder 's words , but followed the rest through the field . <char> Shenac </char> 's steps grew slower as they approached <place> the house </place> . "" Hamish , "" she said a little shamefacedly , "" there will be no use vexing our mother by telling her all this ."
