ID	book_id	char_text	place_text	context_10	context_50	context_100
RQSWCK	4537	Sylvia	the dairy	evening . His aunt caught him a little aside while <char> Sylvia </char> was in <place> the dairy </place> , and her husband talking in the shippen with Kester	_ Alcestis _ . Besides , he went on to think , at the farm they are out of hearing of this one great weary subject of talk . But it was not so , as he became convinced one evening . His aunt caught him a little aside while <char> Sylvia </char> was in <place> the dairy </place> , and her husband talking in the shippen with Kester . ' For good 's sake , Philip , dunnot thee bring us talk about t ' press - gang . It 's a thing as has got hold on my measter , till thou'd think him possessed . He	had never been spoken about , at the time of Kinraid 's disappearance . If he had vanished this winter time , every one would have been convinced that the press - gang had seized upon him . Philip had never heard any one breathe the dreaded name of the _ Alcestis _ . Besides , he went on to think , at the farm they are out of hearing of this one great weary subject of talk . But it was not so , as he became convinced one evening . His aunt caught him a little aside while <char> Sylvia </char> was in <place> the dairy </place> , and her husband talking in the shippen with Kester . ' For good 's sake , Philip , dunnot thee bring us talk about t ' press - gang . It 's a thing as has got hold on my measter , till thou'd think him possessed . He 's speaking perpetual on it i ' such a way , that thou'd think he were itching to kill 'em a ' afore he tasted bread again . He really trembles wi ' rage and passion ; an ' a ' night it 's just as bad . He starts
ROARAP	48990	Daphne	the first port we could make and marry her any old way she wanted to be married	", without an instant 's hesitation , "" to take <char> Daphne </char> to <place> the first port we could make and marry her any old way she wanted to be married </place> . "" "" Why ? "" asked Bretton . """	"each man concerned himself with the lighting of a fresh cigarette . Then Bretton jerked back his chair . "" Just what was your plan , Kaire ? "" he asked . "" I had planned , "" said Kaire , without an instant 's hesitation , "" to take <char> Daphne </char> to <place> the first port we could make and marry her any old way she wanted to be married </place> . "" "" Why ? "" asked Bretton . "" _ Why _ ? "" snarled Kaire . "" _ Why _ ? Well , what an extraordinary question ! Why does any man marry any woman ? "" "" For so many different reasons , "" said [ 199"	""" _ Sir _ ? "" he repeated threateningly . "" Oh , do n't concern yourself for a moment with my daughter 's tender sensibilities , "" begged Bretton . "" Their conservation -- you must understand -- is still in my hands . "" Somberly for a moment each man concerned himself with the lighting of a fresh cigarette . Then Bretton jerked back his chair . "" Just what was your plan , Kaire ? "" he asked . "" I had planned , "" said Kaire , without an instant 's hesitation , "" to take <char> Daphne </char> to <place> the first port we could make and marry her any old way she wanted to be married </place> . "" "" Why ? "" asked Bretton . "" _ Why _ ? "" snarled Kaire . "" _ Why _ ? Well , what an extraordinary question ! Why does any man marry any woman ? "" "" For so many different reasons , "" said [ 199 ] Bretton , "" that it rather specially interested me to hear just what yours were . "" "" Why , I 'm crazy about her ! "" flushed Kaire . "" Utterly mad ! Never saw anything in my life that I wanted so much ! "" "" Well--_you"
VKJCBB	4596	the Abbess of Soissons	Soissons	committing her to the charge of my good aunt , <char> the Abbess of <place> Soissons </place> </char> , in utter secrecy , until better days should come	he said could never be blotted out in after years , and then her father 's clanswoman , Alison Hepburn , undertook to carry her to France , with a letter of mine bound up in her swathing clothes , committing her to the charge of my good aunt , <char> the Abbess of <place> Soissons </place> </char> , in utter secrecy , until better days should come . Alas ! I thought them not so far off . I deemed that were I once beyond the clutches of Morton , Ruthven , and the rest , the loyal would rally once more round my standard , and	even if it were far away from her mother 's aching heart . Not one more embrace could I be granted , but my good chaplain Ross -- whom the saints rest -- baptized her in secret , and Gorion had set two marks on the soft flesh , which he said could never be blotted out in after years , and then her father 's clanswoman , Alison Hepburn , undertook to carry her to France , with a letter of mine bound up in her swathing clothes , committing her to the charge of my good aunt , <char> the Abbess of <place> Soissons </place> </char> , in utter secrecy , until better days should come . Alas ! I thought them not so far off . I deemed that were I once beyond the clutches of Morton , Ruthven , and the rest , the loyal would rally once more round my standard , and my crown would be mine own , mine enemies and those of my Church beneath my feet . Little did I guess that my escape would only be to see them slain and routed , and that when I threw myself on the hospitality of my cousin , her tender
BFKWED	40493	he	here	"now ; it was the undertaker . He lives near <place> here </place> . "" "" And the boy . Has <char> he </char> gone away ? "" "" I do n't know ."	", one would imagine that the house was entirely deserted . Are you sure Mrs. Anson is dead ? "" "" Oh , quite sure . Hers was rather a hard case , some one told me . I remember now ; it was the undertaker . He lives near <place> here </place> . "" "" And the boy . Has <char> he </char> gone away ? "" "" I do n't know . I have n't seen him lately . "" Each of these men had read all the reports concerning Philip and his diamonds . Large numbers of tiny , white pebbles were lying on the floor beneath their eyes , but"	"a piece of sacking was thrust through two broken panes in the small window opposite . "" Not much there , eh ? "" laughed the policeman . "" Not much , indeed . The floor is all covered with dirt , and if it were not for the bed , one would imagine that the house was entirely deserted . Are you sure Mrs. Anson is dead ? "" "" Oh , quite sure . Hers was rather a hard case , some one told me . I remember now ; it was the undertaker . He lives near <place> here </place> . "" "" And the boy . Has <char> he </char> gone away ? "" "" I do n't know . I have n't seen him lately . "" Each of these men had read all the reports concerning Philip and his diamonds . Large numbers of tiny , white pebbles were lying on the floor beneath their eyes , but the window was not clean , and the light was far from good , as the sky was clouded . Yet they were visible enough . The clerk noticed them at once , but neither he nor the policeman paid more heed to the treasures almost at their feet than"
OQWIDM	12453	she	a home of my own	"his bounty , however liberally offered . "" I have <place> a home of my own </place> , "" <char> she </char> said , "" a few faithful servants , brains ,"	"the incumbent of a great plantation . But the teachings of Jean - Jacques Rousseau , that philosophic sign - post , still influenced his mother , in her refusal to live under his splendid roof , and partake of his bounty , however liberally offered . "" I have <place> a home of my own </place> , "" <char> she </char> said , "" a few faithful servants , brains , and energy still , besides a small account with General Curzon , in his bank at Savannah , wherewith to meet emergencies ; while these things last , I will owe to no man or woman for bread or shelter"	"New York to Georgia , and who , standing by her side , distinctly remembered to have seen the head of the Princess Lamballe borne on a pole through the streets of Paris , was now a prominent member of the Legislature , and , through his rich wife , the incumbent of a great plantation . But the teachings of Jean - Jacques Rousseau , that philosophic sign - post , still influenced his mother , in her refusal to live under his splendid roof , and partake of his bounty , however liberally offered . "" I have <place> a home of my own </place> , "" <char> she </char> said , "" a few faithful servants , brains , and energy still , besides a small account with General Curzon , in his bank at Savannah , wherewith to meet emergencies ; while these things last , I will owe to no man or woman for bread or shelter . And , when these depart , may the grave cover my bones , and the good God receive my soul ! "" Books alone she accepted as gifts from her son , and of these , in a little three - cornered library , she had a goodly store"
NUIITA	63849	Bambi	there	. “ Run ! ” he called when he saw <char> Bambi <place> </char> there </place> . “ Do n’t just stand there , anyone who	. Between the shouts , new thunderclaps . Bambi was alarmed . There were rapid bangs and cracks from the undergrowth , rumblings sped across the snow , and in among the uproar young Karus came galloping over to them . “ Run ! ” he called when he saw <char> Bambi <place> </char> there </place> . “ Do n’t just stand there , anyone who still can run , run ! ” He went past them in an instant and his headlong flight yanked Bambi along with him . Bambi was hardly aware whether he had started running again or not , and it was	’m just too weak . ” “ What ’s going to happen to you then ? ” Bambi persisted . “ I do n’t know . I expect I ’ll die , ” said Gobo simply . The shouting started again and the sound of it came over to them . Between the shouts , new thunderclaps . Bambi was alarmed . There were rapid bangs and cracks from the undergrowth , rumblings sped across the snow , and in among the uproar young Karus came galloping over to them . “ Run ! ” he called when he saw <char> Bambi <place> </char> there </place> . “ Do n’t just stand there , anyone who still can run , run ! ” He went past them in an instant and his headlong flight yanked Bambi along with him . Bambi was hardly aware whether he had started running again or not , and it was only a while later that he said , “ Farewell , Gobo . ” But by that time he was already too far away . Gobo could no longer hear him . He ran through the woods , penetrated by the noise and the thunderclaps that seemed to be seeking
PGPMEV	79	you	Washington	tiger by the tail . And the tiger is in <place> Washington </place> . Seems like <char> you </char> 've pissed off some important people . We need to	". But Jeez . . .the Attor- ney General 's office . "" Scott , what is going on here ? "" Higgins asked but Doug wanted to know as well . "" It looks like you 've got a tiger by the tail . And the tiger is in <place> Washington </place> . Seems like <char> you </char> 've pissed off some important people . We need to know , the whole bit . What are you onto ? "" "" It 's all in the story , "" Scott said , emotionally drained before 9:00 AM . "" Whatever I know is there . It 's all"	"mind immediately blamed Tyrone . He had been betrayed . Used . Goddamn it . He knew better than to trust a Fed . Shit . Tyrone must have gone upstairs and told his cronies that I was onto a story and . . .well one thing led to another . But Jeez . . .the Attor- ney General 's office . "" Scott , what is going on here ? "" Higgins asked but Doug wanted to know as well . "" It looks like you 've got a tiger by the tail . And the tiger is in <place> Washington </place> . Seems like <char> you </char> 've pissed off some important people . We need to know , the whole bit . What are you onto ? "" "" It 's all in the story , "" Scott said , emotionally drained before 9:00 AM . "" Whatever I know is there . It 's all been confirmed , Doug saw the notes . "" Doug nodded , yes , the reporting was as accurate as is expected in such cases . "" Well , "" Higgins continued , "" it seems that our friends in Wash- ington do n't want any of this printed ,"
FPLPPE	24696	his	the road	on the West End the year Henry S. Brock and <char> his </char> friends took hold of <place> the road </place> , but none made more stir than the new Number	a type of the Pullman car so popular some years ago for transcontinental travel ; neither too heavy for the mountains nor too light for the pace across the plains . There were many features added to the passenger schedule on the West End the year Henry S. Brock and <char> his </char> friends took hold of <place> the road </place> , but none made more stir than the new Number One , run then as a crack passenger train , a strictly limited , vestibuled string , with barbers , baths , grill rooms , and five - o'clock tea . In and out Number One was the finest train	bottom of her trunk . CHAPTER XI IN THE LALLA ROOKH The car in itself was in no way remarkable . A twelve - section and drawing - room , mahogany - finish , wide - vestibule sleeper , done in cream brown , hangings shading into Indian reds -- a type of the Pullman car so popular some years ago for transcontinental travel ; neither too heavy for the mountains nor too light for the pace across the plains . There were many features added to the passenger schedule on the West End the year Henry S. Brock and <char> his </char> friends took hold of <place> the road </place> , but none made more stir than the new Number One , run then as a crack passenger train , a strictly limited , vestibuled string , with barbers , baths , grill rooms , and five - o'clock tea . In and out Number One was the finest train that crossed the Rockies , and bar nobody 's . It was October , with the Colorado travel almost entirely eastbound and the California travel beginning , westbound , and the Lalla Rookh sleeper being deadheaded to the coast on a special charter for an O. and O. steamer party
UHHTAC	33662	Scud	the piazza	clutched her husband by the collar of his shirt . <char> Scud </char> was carried quickly up and laid upon <place> the piazza </place> . An ugly bruise was upon his forehead . The	during all that horrible scene swam now in the whirlpool for the woman 's sake , and for the shame she wrought upon them . Brawny arms and steady feet bore her back . Her little hand , rigid , clutched her husband by the collar of his shirt . <char> Scud </char> was carried quickly up and laid upon <place> the piazza </place> . An ugly bruise was upon his forehead . The wind died down . The rain came in white torrents . Betty stood in the deluge and shielded her husband automatically . The children , most of them too small to know the reason why , lifted up their voices	"What could be done ? A woman -- a little woman -- her baby only one month old -- Betty ! She caught the sinking hand , the drowning head -- she never knew how . A dozen men plunged in now . Spectators who had not wet their feet during all that horrible scene swam now in the whirlpool for the woman 's sake , and for the shame she wrought upon them . Brawny arms and steady feet bore her back . Her little hand , rigid , clutched her husband by the collar of his shirt . <char> Scud </char> was carried quickly up and laid upon <place> the piazza </place> . An ugly bruise was upon his forehead . The wind died down . The rain came in white torrents . Betty stood in the deluge and shielded her husband automatically . The children , most of them too small to know the reason why , lifted up their voices and wept . "" Father , "" said Betty , softly , "" why do n't ye speak to me ? Dearie , dearie Scud . I saved ye . Hain't ye nothing to say to me , Scud ? "" "" You 'd better go into the house ,"
UFZZXG	20553	I	the spot where I had last seen Kelvar	came nearer to Nardos and the bridge , nearer to <place> the spot where <char> I </char> had last seen Kelvar </place> . Below the old water level , the columns showed	and skeletal . Towers had fallen in , and the gleaming white was dimmed . It was a city of the dead , under an Earth leprous - looking with black spots where the clouds apparently had parted . I came nearer to Nardos and the bridge , nearer to <place> the spot where <char> I </char> had last seen Kelvar </place> . Below the old water level , the columns showed a greenish stain , and half - way out the whole structure had fallen in a great gap . I reached the land terminus of the span , still glorious and almost beautiful in its ruins . Whole blocks of	of glittering alkali without a sign of vegetation . I went on toward Nardos the Beautiful . * * * * * Even from afar off , I could see that it was desolate . Visible now that the water had gone down , the pillars supporting it rose gaunt and skeletal . Towers had fallen in , and the gleaming white was dimmed . It was a city of the dead , under an Earth leprous - looking with black spots where the clouds apparently had parted . I came nearer to Nardos and the bridge , nearer to <place> the spot where <char> I </char> had last seen Kelvar </place> . Below the old water level , the columns showed a greenish stain , and half - way out the whole structure had fallen in a great gap . I reached the land terminus of the span , still glorious and almost beautiful in its ruins . Whole blocks of stone had fallen to the sand , and the adamantine pillars were cracked and crumbling with the erosion of ages . Then I knew . In our argument as to the possible speed of the _ Comet _ , Garth and I had both been right . In our reference
ACUJBD	4271	he	Sheriffmuir	the British ensign with emotions very unlike those with which <char> he </char> had seen it wave at <place> Sheriffmuir </place> ; but it looked strange above the low walls of	and installed by the chief Janissaries , and it remained to be proved whether he would show himself equally anxious to be on good terms with the Christian Powers . Arthur 's heart had learnt to beat at sight of the British ensign with emotions very unlike those with which <char> he </char> had seen it wave at <place> Sheriffmuir </place> ; but it looked strange above the low walls of a Moorish house , plain outside , but with a richly cusped and painted horse - shoe arch at the entrance to a lovely cloistered court , with a sparkling fountain surrounded by orange trees with fruit of all shades	strokes of bastinado on the feet , 1000 the first day , 1200 on the second , and he died in consequence , so that Englishmen safely walked the narrow streets . The Dey who had inflicted this punishment was , however , lately dead . Mehemed had been elected and installed by the chief Janissaries , and it remained to be proved whether he would show himself equally anxious to be on good terms with the Christian Powers . Arthur 's heart had learnt to beat at sight of the British ensign with emotions very unlike those with which <char> he </char> had seen it wave at <place> Sheriffmuir </place> ; but it looked strange above the low walls of a Moorish house , plain outside , but with a richly cusped and painted horse - shoe arch at the entrance to a lovely cloistered court , with a sparkling fountain surrounded by orange trees with fruit of all shades from green to gold . Servants in white garments and scarlet fezzes , black , brown , or white ( by courtesy ) , seemed to swarm in all directions ; and one of them called a youth in European garb , but equally dark - faced with the rest
NZPFWW	14436	I	the Air	, where I could best see and distinguish ; and <char> I </char> have often counted in <place> the Air </place> , at one time , more than twenty Bombs ;	incommoded them that Way . Five Days the Bombardment continu'd ; and with such Fury , that the Centre of that noble City was quite lay'd in Rubbish . Most of the Time of Bombarding I was upon the Counterscarp , where I could best see and distinguish ; and <char> I </char> have often counted in <place> the Air </place> , at one time , more than twenty Bombs ; for they shot whole Vollies out of their Mortars all together . This , as it must needs be terrible , threw the Inhabitants into the utmost Confusion . Cartloads of Nuns , that for many Years before had never	chose to reside , that they might , as much as possible , avoid incommoding her , by directing their Fire to other Parts . Answer was return'd that she was at her usual Place of Residence , the Palace ; and accordingly their fireing from Battery or Mortars little incommoded them that Way . Five Days the Bombardment continu'd ; and with such Fury , that the Centre of that noble City was quite lay'd in Rubbish . Most of the Time of Bombarding I was upon the Counterscarp , where I could best see and distinguish ; and <char> I </char> have often counted in <place> the Air </place> , at one time , more than twenty Bombs ; for they shot whole Vollies out of their Mortars all together . This , as it must needs be terrible , threw the Inhabitants into the utmost Confusion . Cartloads of Nuns , that for many Years before had never been out of the Cloister , were now hurry'd about from Place to Place , to find Retreats of some Security . In short , the Groves , and Parts remote , were all crowded ; and the most spacious Streets had hardly a Spectator left to view their Ruins
