ID	valid_relation	spatial_relation	temporal_span	narrative_tense
FYEZID	VALID	IN	PUNCTUAL	ONGOING
AREHCA	VALID	NEAR	PUNCTUAL	ONGOING
SXMUHE	VALID	NO REL		
BWCUVM	VALID	NO REL		
QKQSBF	VALID	IN	PUNCTUAL	ONGOING
NDRXAA	VALID	TO	HABITUAL	ONGOING
VAAMWV	VALID	THRU	PUNCTUAL	ONGOING
VOPSST	INVALID			
SPOMIY	VALID	TO	HABITUAL	ALREADY HAPPENED
HTOBCX	INVALID			
KDOYBD	VALID	IN	HABITUAL	ALREADY HAPPENED
AEFXTJ	VALID	IN	HABITUAL	ONGOING
ULJJBR	VALID	IN	PUNCTUAL	ONGOING
QSRBQP	VALID	IN	PUNCTUAL	ONGOING
HBQVWE	VALID	NO REL		
EMPIKA	VALID	IN	HABITUAL	ALREADY HAPPENED
DUDUTN	VALID	IN	HABITUAL	ONGOING
XEUFWF	VALID	FROM	PUNCTUAL	ONGOING
TCIJES	VALID	IN	PUNCTUAL	ALREADY HAPPENED
IYVBNR	INVALID			
MIBSMK	VALID	THRU	PUNCTUAL	ALREADY HAPPENED
QWNIHX	VALID	TO	PUNCTUAL	ONGOING
JJCNFW	VALID	NO REL		
IUSNOA	VALID	NO REL		
FGHLQU	VALID	NO REL		
CYWHNR	VALID	NO REL		
FTGQLQ	INVALID			
WRZVCF	VALID	NEAR	HABITUAL	ONGOING
PYWBNP	INVALID			
ZADEFS	INVALID			
UTUFIY	VALID	NO REL		
SWBZOD	VALID	IN	PUNCTUAL	ONGOING
ERMRKF	VALID	THRU	PUNCTUAL	ALREADY HAPPENED
CRXKLG	INVALID			
KHWBBP	VALID	NO REL		
SDBTFY	VALID	NO REL		
YCVVSP	VALID	NO REL		
ZQJQJS	VALID	IN	PUNCTUAL	ALREADY HAPPENED
STSLFH	VALID	IN	HABITUAL	ONGOING
SHWDKG	INVALID			
NPVPIP	INVALID			
CHOCZX	VALID	IN	HABITUAL	ALREADY HAPPENED
XOKXIV	VALID	IN	PUNCTUAL	ONGOING
DXUJEC	VALID	IN	PUNCTUAL	ALREADY HAPPENED
ZRKMAE	VALID	NO REL		
OKNPBN	VALID	TO	PUNCTUAL	ONGOING
VDCHXM	VALID	NEAR	PUNCTUAL	ONGOING
BIBFTX	VALID	FROM	PUNCTUAL	ONGOING
NNQHOO	VALID	IN	HABITUAL	ONGOING
UKQIKH	VALID	NO REL		
YHUOYZ	INVALID			
IXIWKG	VALID	IN	HABITUAL	ALREADY HAPPENED
RFQKKZ	VALID	IN	PUNCTUAL	ONGOING
TCPFCB	VALID	NO REL		
GHVNTU	VALID	IN	PUNCTUAL	ONGOING
ZLIUUE	VALID	NO REL		
WNNOUW	VALID	IN	PUNCTUAL	ONGOING
VJVRXB	VALID	IN	PUNCTUAL	ONGOING
MTPWAW	VALID	IN	PUNCTUAL	ONGOING
OUHYIH	VALID	NO REL		
KFXCRT	VALID	NO REL		
ZXVBKR	INVALID			
VYNBWI	VALID	IN	PUNCTUAL	ALREADY HAPPENED
RPCZXK	VALID	IN	PUNCTUAL	ONGOING
MHSGKH	INVALID			
MEELPC	VALID	IN	HABITUAL	ONGOING
WKIXXL	VALID	FROM	PUNCTUAL	ONGOING
OCVIAO	VALID	NEAR	HABITUAL	ONGOING
DUYTGK	VALID	TO	PUNCTUAL	ONGOING
MDHQCE	VALID	NEAR	PUNCTUAL	ONGOING
ZQBKZA	VALID	IN	HABITUAL	ONGOING
DFZIKO	INVALID			
WZQHLH	INVALID			
CMACMC	VALID	IN	PUNCTUAL	ONGOING
NPFAZK	VALID	IN	PUNCTUAL	ALREADY HAPPENED
WHQVMM	VALID	NEAR	PUNCTUAL	ONGOING
SDRQOU	VALID	IN	HABITUAL	ONGOING
UUTVOI	VALID	IN	HABITUAL	ONGOING
EYRMCO	VALID	NO REL		
AEEMYK	VALID	NEAR	PUNCTUAL	ONGOING
XDVQNX	VALID	IN	PUNCTUAL	ONGOING
HRVMCH	VALID	IN	PUNCTUAL	ONGOING
SNQGAQ	VALID	NEAR	PUNCTUAL	ONGOING
JKWAAT	VALID	NO REL		
WHOTRZ	VALID	IN	HABITUAL	ALREADY HAPPENED
QXQQWU	INVALID			
RYVPHE	VALID	IN	HABITUAL	ONGOING
HVVIQE	VALID	IN	HABITUAL	ONGOING
WXNYMJ	VALID	NEAR	PUNCTUAL	ONGOING
BNBWAD	VALID	IN	HABITUAL	ALREADY HAPPENED
VTEJFB	INVALID			
FTZCAG	VALID	IN	HABITUAL	ALREADY HAPPENED
FSZTYM	VALID	NEAR	PUNCTUAL	ONGOING
FMGTCM	VALID	NO REL		
FWXUNH	VALID	NO REL		
KXURUQ	VALID	IN	PUNCTUAL	ONGOING
NFBQEP	VALID	NO REL		
DOZBFE	VALID	NO REL		
IXNOTI	INVALID			
QRQUXW	VALID	NEAR	PUNCTUAL	ONGOING
DBEZSB	INVALID			
DFXZTH	VALID	NO REL		
EHCOPT	VALID	IN	PUNCTUAL	ALREADY HAPPENED
WTANSS	INVALID			
LBTVKZ	VALID	IN	PUNCTUAL	ALREADY HAPPENED
AXXBSK	VALID	NO REL		
GNCPBP	INVALID			
TKYYNN	INVALID			
URAWCH	VALID	IN	HABITUAL	ONGOING
NOOWCA	VALID	IN	HABITUAL	ALREADY HAPPENED
MSWJQU	VALID	IN	PUNCTUAL	ALREADY HAPPENED
QCEGZG	VALID	NO REL		
CIZWKI	VALID	NO REL		
WDGFPG	INVALID			
FLBMDT	VALID	IN	HABITUAL	ONGOING
UIXNHG	INVALID			
NDRKEE	VALID	IN	PUNCTUAL	ALREADY HAPPENED
NMTLYW	VALID	IN	HABITUAL	ONGOING
GJDZMR	VALID	NO REL		
IHHQDZ	VALID	NO REL		
ZXDZEJ	INVALID			
DTDMLK	VALID	IN	HABITUAL	ONGOING
FXKONG	VALID	NEAR	PUNCTUAL	ONGOING
MDVQSM	VALID	NO REL		
DTNQSM	VALID	NO REL		
VRCSEB	VALID	IN	HABITUAL	ALREADY HAPPENED
JTQONP	VALID	NO REL		
WUHFPP	VALID	IN	HABITUAL	ALREADY HAPPENED
GCSSQF	VALID	IN	PUNCTUAL	ONGOING
LELDFR	VALID	TO	HABITUAL	ALREADY HAPPENED
HEZADQ	VALID	NO REL		
OHEAZH	VALID	IN	HABITUAL	ONGOING
UHWQQD	VALID	IN	PUNCTUAL	ONGOING
ZVDNUH	VALID	THRU	PUNCTUAL	ONGOING
JLYQDZ	VALID	IN	HABITUAL	ALREADY HAPPENED
WAQPIS	VALID	NEAR	PUNCTUAL	ALREADY HAPPENED
LEXJOJ	VALID	IN	HABITUAL	ALREADY HAPPENED
MZBSQV	INVALID			
SBOMET	VALID	NO REL		
SNDIPC	VALID	IN	HABITUAL	ONGOING
PUMHHR	VALID	NO REL		
VKJCBB	VALID	IN	HABITUAL	ONGOING
DDWGZQ	VALID	TO	PUNCTUAL	ALREADY HAPPENED
KYQXHC	VALID	IN	PUNCTUAL	ALREADY HAPPENED
XZBHOP	VALID	NO REL		
VQSHUN	INVALID			
QTLDAY	VALID	NEAR	HABITUAL	ONGOING
UZHWAJ	INVALID			
DZJOGB	VALID	NO REL		
GRGOJN	VALID	IN	HABITUAL	ONGOING
HKQAEN	INVALID			
NKJGPV	INVALID			
EZHOGU	VALID	IN	PUNCTUAL	ONGOING
SGVMMM	VALID	NO REL		
MFPRFZ	VALID	NEAR	PUNCTUAL	ONGOING
FNJAYN	VALID	IN	HABITUAL	ALREADY HAPPENED
TWVEIC	VALID	IN	HABITUAL	ONGOING
QSLXZR	INVALID			
IBFPAP	VALID	NO REL		
RNWJSO	VALID	NO REL		
OWYIES	VALID	NO REL		
IVOBBW	VALID	IN	HABITUAL	ONGOING
YERHMX	VALID	IN	PUNCTUAL	ONGOING
JTSORE	INVALID			
HMLYLE	VALID	IN	HABITUAL	ALREADY HAPPENED
MQQKPZ	VALID	NO REL		
JKRCOM	VALID	TO	PUNCTUAL	ONGOING
IJMHSP	VALID	NO REL		
OBPEOT	VALID	IN	HABITUAL	ONGOING
XRGEFK	VALID	IN	PUNCTUAL	ALREADY HAPPENED
QAXCYY	VALID	NO REL		
SFHJSL	VALID	NO REL		
BDGCQZ	INVALID			
GHXXPF	VALID	IN	PUNCTUAL	ONGOING
QIYPUF	VALID	TO	PUNCTUAL	ONGOING
MIEBHG	INVALID			
OBLXEO	VALID	TO	PUNCTUAL	ONGOING
WKLWRQ	VALID	FROM	PUNCTUAL	ONGOING
XCHXGX	VALID	IN	PUNCTUAL	ONGOING
FHPYGR	VALID	IN	HABITUAL	ALREADY HAPPENED
BQUVSP	VALID	THRU	HABITUAL	ONGOING
CDGFGP	VALID	FROM	PUNCTUAL	ONGOING
MFJPOO	VALID	TO	PUNCTUAL	ONGOING
EJNYWS	VALID	TO	HABITUAL	ONGOING
NSOXNH	VALID	IN	PUNCTUAL	ONGOING
TYHFQQ	VALID	IN	PUNCTUAL	ONGOING
SVBYTH	INVALID			
PXCOIF	VALID	IN	HABITUAL	ALREADY HAPPENED
UMLTPS	VALID	IN	PUNCTUAL	ONGOING
IVUQPN	VALID	NEAR	PUNCTUAL	ONGOING
BFJMJI	VALID	IN	PUNCTUAL	ONGOING
AZIGEV	VALID	FROM	PUNCTUAL	ONGOING
EFVFHR	VALID	IN	PUNCTUAL	ALREADY HAPPENED
VSAEGW	VALID	IN	PUNCTUAL	ONGOING
OKTMHU	VALID	NO REL		
MDZAXX	VALID	IN	PUNCTUAL	ONGOING
LMBVDA	VALID	NO REL		
REOXCP	VALID	TO	PUNCTUAL	ONGOING
LNNQTD	INVALID			
LDGYOK	VALID	IN	HABITUAL	ALREADY HAPPENED
TPVLXR	VALID	IN	HABITUAL	ONGOING
HEYMYC	VALID	NEAR	PUNCTUAL	ONGOING
FVPADD	INVALID			
QLNOHN	VALID	IN	HABITUAL	ONGOING
UOADDK	VALID	IN	HABITUAL	ONGOING
OGTRTL	VALID	IN	PUNCTUAL	ONGOING
EAYZRI	VALID	FROM	HABITUAL	ONGOING
ZJVXLA	VALID	TO	PUNCTUAL	ONGOING
ZZGDIB	VALID	FROM	HABITUAL	ALREADY HAPPENED
WQTDWU	VALID	NO REL		
YJHRZF	INVALID			
EMPRCO	VALID	NO REL		
JGZBGQ	VALID	NEAR	HABITUAL	ONGOING
EYTJPU	VALID	IN	HABITUAL	ONGOING
EOAWNW	VALID	IN	HABITUAL	ONGOING
DDXEEZ	VALID	NEAR	PUNCTUAL	ONGOING
AQXWIF	INVALID			
PJIMKP	VALID	IN	PUNCTUAL	ONGOING
CYOEEU	INVALID			
IPMMOJ	VALID	NO REL		
KEGKIB	VALID	IN	PUNCTUAL	ONGOING
DYNOHE	VALID	IN	HABITUAL	ONGOING
UYHEYW	INVALID			
INTBUW	INVALID			
QROQPE	VALID	IN	HABITUAL	ALREADY HAPPENED
PDSSQF	VALID	NEAR	PUNCTUAL	ONGOING
QFGTGP	VALID	NO REL		
OZNIQN	VALID	NO REL		
OXIAUD	VALID	IN	HABITUAL	ALREADY HAPPENED
ONDBWD	VALID	FROM	PUNCTUAL	ALREADY HAPPENED
PVXZSD	VALID	NO REL		
LBXEEP	INVALID			
JTTJCR	INVALID			
PRVAUS	VALID	NO REL		
HGVZOR	INVALID			
RNLLWK	INVALID			
IDVYGT	INVALID			
ISIOSM	INVALID			
IAIGSE	VALID	NO REL		
REYVPT	VALID	NO REL		
BAZPKQ	VALID	NO REL		
FFXMBE	INVALID			
MDODWE	INVALID			
YZMYOU	INVALID			
RDVFTL	VALID	THRU	PUNCTUAL	ONGOING
OWIWRH	VALID	IN	HABITUAL	ONGOING
LVIBUQ	VALID	NO REL		
XCKHBD	VALID	IN	HABITUAL	ONGOING
XELHSP	INVALID			
QLFQWT	VALID	IN	PUNCTUAL	ONGOING
MADJZM	VALID	IN	PUNCTUAL	ONGOING
GECDGP	INVALID			
ERLXOR	INVALID			
BPIXGR	VALID	FROM	HABITUAL	ONGOING
HSJAFZ	INVALID			
HGXIVT	VALID	NEAR	HABITUAL	ONGOING
QYEYTJ	VALID	FROM	PUNCTUAL	ONGOING
QQSHPJ	VALID	NEAR	PUNCTUAL	ONGOING
YDODYS	VALID	NO REL		
AAQUZC	VALID	IN	HABITUAL	ONGOING
ZCPLQX	VALID	NO REL		
CRNEIK	VALID	NO REL		
KEFZXC	VALID	IN	HABITUAL	ONGOING
GLSEJB	INVALID			
YZAUES	VALID	NO REL		
DZEZGG	VALID	NO REL		
AHWGDT	VALID	IN	HABITUAL	ALREADY HAPPENED
XSHNJE	INVALID			
PGICMB	VALID	TO	HABITUAL	ONGOING
QYNHVV	INVALID			
QQPMSX	VALID	IN	HABITUAL	ONGOING
AHKTCN	VALID	NEAR	HABITUAL	ONGOING
LQWENB	VALID	NO REL		
HSQCWR	INVALID			
CFDBUL	VALID	IN	HABITUAL	ONGOING
QIMERE	INVALID			
GTESLS	VALID	IN	HABITUAL	ONGOING
IFITDU	VALID	IN	PUNCTUAL	ONGOING
ZCBNEI	VALID	IN	HABITUAL	ALREADY HAPPENED
PXDQKF	VALID	TO	HABITUAL	ONGOING
LYZFHJ	VALID	IN	HABITUAL	ONGOING
ZRABSF	VALID	NO REL		
TVBVLC	INVALID			
HBWPEN	VALID	IN	HABITUAL	ONGOING
QHVOGL	VALID	IN	HABITUAL	ONGOING
IHQNKQ	VALID	NEAR	HABITUAL	ALREADY HAPPENED
PMVROV	VALID	NO REL		
QRLZXL	VALID	NO REL		
RCJXRL	INVALID			
DKGJHL	INVALID			
ZULQUP	VALID	IN	HABITUAL	ALREADY HAPPENED
TCVUCT	VALID	IN	PUNCTUAL	ONGOING
ROSATA	VALID	IN	HABITUAL	ONGOING
KZKBKB	VALID	IN	HABITUAL	ALREADY HAPPENED
WTIAYN	VALID	TO	PUNCTUAL	ONGOING
DZHJFX	VALID	TO	PUNCTUAL	ONGOING
QUGKZY	VALID	IN	PUNCTUAL	ONGOING
NQIHQO	VALID	IN	HABITUAL	ALREADY HAPPENED
EWPAJF	VALID	NO REL		
EUTVDD	VALID	TO	PUNCTUAL	ONGOING
GVOQKC	VALID	NO REL		
JJYVIL	VALID	NO REL		
VGRLGK	VALID	IN	HABITUAL	ONGOING
BXHSDT	VALID	NO REL		
WSLASE	VALID	IN	PUNCTUAL	ONGOING
EPIHSD	INVALID			
VMSQJA	VALID	IN	HABITUAL	ONGOING
XEIHBV	VALID	IN	HABITUAL	ONGOING
PTXKLE	INVALID			
ORGKOU	INVALID			
GXFVAY	VALID	IN	PUNCTUAL	ONGOING
FMQYZF	VALID	NEAR	PUNCTUAL	ONGOING
MKPJBW	VALID	IN	PUNCTUAL	ONGOING
UOOAWU	VALID	IN	HABITUAL	ONGOING
PVWTGD	INVALID			
UQSERP	VALID	TO	PUNCTUAL	ONGOING
UQLYTH	VALID	NO REL		
KKHIJG	INVALID			
SHMKBZ	VALID	NO REL		
DUUPSP	VALID	NO REL		
XDSBCU	VALID	NEAR	PUNCTUAL	ONGOING
LSZBDE	INVALID			
KQICQW	VALID	NO REL		
ONHBRY	VALID	IN	PUNCTUAL	ONGOING
SELQXZ	VALID	NEAR	PUNCTUAL	ALREADY HAPPENED
HHYXSP	VALID	IN	PUNCTUAL	ALREADY HAPPENED
DZIPDS	INVALID			
CTDGIA	VALID	NO REL		
BBDQET	VALID	NO REL		
DSTTRF	VALID	IN	PUNCTUAL	ONGOING
GBTCIW	VALID	TO	PUNCTUAL	ONGOING
DFCXIP	VALID	IN	PUNCTUAL	ONGOING
IAYOLX	INVALID			
JZFNHL	VALID	IN	PUNCTUAL	ALREADY HAPPENED
NZPFWW	INVALID			
EAVRWS	INVALID			
YBCGQF	VALID	NO REL		
VVRENG	VALID	TO	PUNCTUAL	ONGOING
JHWJYP	VALID	NO REL		
BLNUNS	VALID	TO	HABITUAL	ONGOING
WRTHQT	VALID	IN	PUNCTUAL	ONGOING
EXKHEJ	VALID	IN	HABITUAL	ALREADY HAPPENED
JVZRHN	VALID	NO REL		
LLTLVD	INVALID			
DFPFUH	VALID	NEAR	PUNCTUAL	ONGOING
OVUULN	VALID	NO REL		
UCWYZY	INVALID			
QQMZRT	INVALID			
UTFIMY	VALID	IN	PUNCTUAL	ONGOING
URGUDM	INVALID			
YIESAM	VALID	NEAR	HABITUAL	ONGOING
AZGNLB	VALID	IN	HABITUAL	ALREADY HAPPENED
EDPSPA	INVALID			
OSLDNH	VALID	FROM	PUNCTUAL	ONGOING
KLPJBX	VALID	IN	PUNCTUAL	ONGOING
BPONOT	VALID	NEAR	PUNCTUAL	ONGOING
MPPHIC	VALID	NO REL		
DFEPZQ	VALID	NO REL		
IQRYAK	INVALID			
JXJBFT	VALID	NO REL		
QIFYZM	VALID	TO	PUNCTUAL	ALREADY HAPPENED
AUWSAL	VALID	NEAR	PUNCTUAL	ONGOING
KRFTXO	INVALID			
AKAQNB	VALID	IN	HABITUAL	ALREADY HAPPENED
SQDOOB	INVALID			
EWOUAP	VALID	NO REL		
QQWWAA	VALID	NO REL		
DYAXMT	INVALID			
MXNQTB	VALID	IN	PUNCTUAL	ALREADY HAPPENED
CVVZIG	VALID	NO REL		
GCIMCQ	VALID	IN	PUNCTUAL	ONGOING
SBOSQW	VALID	NO REL		
KQXEJH	VALID	NO REL		
QPDSTO	VALID	NO REL		
VAPFCE	VALID	NO REL		
FASOEI	VALID	IN	HABITUAL	ALREADY HAPPENED
RZXCHS	VALID	IN	PUNCTUAL	ONGOING
XQGFQW	VALID	IN	HABITUAL	ONGOING
TZRLTC	VALID	IN	HABITUAL	ONGOING
JLYCYQ	INVALID			
AAUNWC	VALID	IN	PUNCTUAL	ONGOING
VXPERY	VALID	NO REL		
TJYARG	INVALID			
UHHTAC	VALID	IN	PUNCTUAL	ONGOING
GDZSHM	INVALID			
SHVJCX	VALID	NEAR	HABITUAL	ONGOING
HZKUNA	VALID	NEAR	PUNCTUAL	ONGOING
PGPMEV	VALID	NO REL		
SJGLYU	VALID	NO REL		
OOHUYK	VALID	NO REL		
WUMWFJ	VALID	IN	HABITUAL	ONGOING
CBQPVY	VALID	IN	HABITUAL	ONGOING
EDMZWT	VALID	IN	PUNCTUAL	ONGOING
CUYDKV	VALID	NO REL		
TCFPIO	VALID	NO REL		
SJTIJP	VALID	IN	PUNCTUAL	ONGOING
NDVRIE	INVALID			
ZUOOKK	VALID	NO REL		
EUXTGD	VALID	IN	PUNCTUAL	ONGOING
SUQDVK	VALID	NO REL		
UXUOHK	VALID	FROM	PUNCTUAL	ALREADY HAPPENED
WMGAET	VALID	IN	PUNCTUAL	ONGOING
UJKKHA	INVALID			
GEPVSK	VALID	IN	PUNCTUAL	ONGOING
ADVXSA	VALID	IN	PUNCTUAL	ONGOING
YNBNMJ	VALID	NEAR	PUNCTUAL	ONGOING
UPFXPB	VALID	IN	PUNCTUAL	ONGOING
KTNUMA	VALID	NO REL		
GTZEVQ	VALID	NEAR	PUNCTUAL	ONGOING
OZAETD	VALID	FROM	PUNCTUAL	ONGOING
YHJNSX	VALID	FROM	HABITUAL	ALREADY HAPPENED
PAJXQO	VALID	NO REL		
DJYHPJ	VALID	IN	PUNCTUAL	ALREADY HAPPENED
HUPOPS	VALID	NO REL		
ADXURK	VALID	IN	HABITUAL	ONGOING
YUXZAQ	VALID	IN	HABITUAL	ONGOING
FKGEDV	INVALID			
PMVCCB	INVALID			
VUPLWT	INVALID			
CSDZKE	VALID	NEAR	PUNCTUAL	ONGOING
BOFPDR	VALID	IN	PUNCTUAL	ONGOING
DVUEUE	VALID	NO REL		
XWVAPQ	VALID	NO REL		
ATDAWM	VALID	FROM	PUNCTUAL	ONGOING
MNSHQE	VALID	NO REL		
HBHQKB	VALID	FROM	PUNCTUAL	ALREADY HAPPENED
EKPKYO	VALID	IN	PUNCTUAL	ONGOING
DHYRDT	VALID	THRU	PUNCTUAL	ONGOING
WTMSHI	VALID	IN	HABITUAL	ONGOING
SCDKCU	INVALID			
HPFMVG	VALID	IN	HABITUAL	ONGOING
JEUKIN	VALID	NO REL		
AUTWCQ	VALID	IN	HABITUAL	ONGOING
XUBAGO	INVALID			
TCKRNE	VALID	NO REL		
YFCAWS	VALID	NO REL		
DHHUSS	VALID	NO REL		
IWPAFZ	VALID	TO	PUNCTUAL	ALREADY HAPPENED
TLVHBB	INVALID			
BFHEDE	VALID	NEAR	PUNCTUAL	ONGOING
DJVNRE	INVALID			
TRNRGD	INVALID			
CWJZDX	VALID	IN	HABITUAL	ONGOING
HUXVKM	VALID	IN	PUNCTUAL	ONGOING
OIETZY	VALID	IN	HABITUAL	ONGOING
GXBEHI	VALID	NO REL		
OZNQSO	INVALID			
APDHWZ	INVALID			
ZWMKNB	VALID	IN	PUNCTUAL	ONGOING
NYVHRJ	VALID	IN	HABITUAL	ONGOING
KPOIBE	VALID	IN	PUNCTUAL	ONGOING
CIWWYL	INVALID			
JAONYW	VALID	IN	PUNCTUAL	ALREADY HAPPENED
JHFALY	VALID	NO REL		
BQKFBY	VALID	NO REL		
DYSEJK	VALID	NO REL		
TLGOLH	VALID	IN	HABITUAL	ONGOING
PYRUNX	VALID	NO REL		
WGVWAF	INVALID			
JJNDTB	VALID	IN	HABITUAL	ONGOING
IHTPEM	VALID	IN	HABITUAL	ALREADY HAPPENED
XEFUFS	VALID	NO REL		
PPBTYJ	VALID	IN	PUNCTUAL	ONGOING
FTFRCY	VALID	THRU	PUNCTUAL	ONGOING
XEOHTV	INVALID			
QTGIIT	VALID	TO	HABITUAL	ONGOING
WNWPMO	VALID	IN	PUNCTUAL	ONGOING
LVFCXO	INVALID			
DXDLTQ	VALID	IN	HABITUAL	ALREADY HAPPENED
JEOWGT	VALID	NEAR	PUNCTUAL	ALREADY HAPPENED
VCKCFK	VALID	NO REL		
EEBRVS	VALID	NO REL		
SFWZCX	VALID	IN	PUNCTUAL	ALREADY HAPPENED
PGFRTF	INVALID			
TREFYG	VALID	IN	HABITUAL	ONGOING
GEXBKN	VALID	NEAR	PUNCTUAL	ONGOING
EFNNLP	VALID	NO REL		
OQTGQV	VALID	NO REL		
TWYAXE	VALID	NO REL		
KSFSCP	VALID	IN	PUNCTUAL	ONGOING
JETTQE	VALID	IN	PUNCTUAL	ONGOING
NKTVHJ	VALID	NO REL		
FJUKNC	VALID	NEAR	PUNCTUAL	ONGOING
RPKWGR	VALID	NO REL		
EFAWAU	VALID	IN	HABITUAL	ALREADY HAPPENED
TVRHFQ	INVALID			
